,open,high,low,close,volume
2024-04-26 04:09:00,10.6800,10.6900,10.6800,10.6900,300
2024-04-26 06:22:00,10.7200,10.7200,10.7200,10.7200,2
2024-04-26 07:08:00,10.7200,10.7200,10.7200,10.7200,20
2024-04-26 08:00:00,10.8000,10.8000,10.7400,10.7400,84
2024-04-26 08:25:00,10.8100,10.8100,10.8000,10.8000,1400
2024-04-26 08:29:00,10.8000,10.8000,10.8000,10.8000,648
2024-04-26 08:30:00,10.8300,10.8400,10.8300,10.8400,612
2024-04-26 08:45:00,10.8600,10.8600,10.8500,10.8500,3369
2024-04-26 08:46:00,10.8500,10.8500,10.8500,10.8500,200
2024-04-26 08:50:00,10.8600,10.8600,10.8500,10.8500,3358
2024-04-26 08:53:00,10.8500,10.8500,10.8500,10.8500,1343
2024-04-26 08:54:00,10.8500,10.8500,10.8500,10.8500,400
2024-04-26 08:56:00,10.9400,10.9400,10.9400,10.9400,300
2024-04-26 08:57:00,10.9300,10.9300,10.9300,10.9300,10
2024-04-26 09:12:00,10.8500,10.8500,10.8500,10.8500,1000
2024-04-26 09:13:00,10.8500,10.8500,10.8500,10.8500,1294
2024-04-26 09:18:00,10.8500,10.8500,10.8500,10.8500,200
2024-04-26 09:22:00,10.8500,10.8500,10.8500,10.8500,2
2024-04-26 09:25:00,10.8700,10.8800,10.8700,10.8700,620
2024-04-26 09:26:00,10.9400,10.9900,10.8800,10.9500,1422
2024-04-26 09:27:00,10.9900,10.9900,10.9900,10.9900,425
2024-04-26 09:30:00,10.9800,11.1980,10.8800,11.1980,33589
2024-04-26 09:31:00,11.1000,11.1100,11.1000,11.1100,4062
2024-04-26 09:32:00,11.0640,11.1000,11.0640,11.1000,1266
2024-04-26 09:33:00,11.0900,11.0900,11.0000,11.0600,13641
2024-04-26 09:34:00,11.0200,11.0200,11.0100,11.0100,387
2024-04-26 09:35:00,11.0150,11.0500,10.9950,10.9950,1442
2024-04-26 09:36:00,11.0100,11.0300,10.9830,11.0000,8948
2024-04-26 09:37:00,11.0000,11.0500,10.9950,11.0500,3696
2024-04-26 09:38:00,11.0600,11.0600,11.0300,11.0300,1189
2024-04-26 09:39:00,11.0600,11.1400,11.0600,11.1400,3101
2024-04-26 09:40:00,11.1100,11.1700,11.1000,11.1050,9211
2024-04-26 09:41:00,11.0700,11.0700,10.9920,11.0200,4017
2024-04-26 09:42:00,11.0100,11.0350,11.0000,11.0000,1581
2024-04-26 09:43:00,11.0200,11.0300,11.0000,11.0300,1967
2024-04-26 09:44:00,11.0410,11.0410,11.0000,11.0400,1027
2024-04-26 09:45:00,11.0500,11.0750,11.0500,11.0750,2579
2024-04-26 09:46:00,11.0870,11.0870,11.0750,11.0750,425
2024-04-26 09:48:00,11.0500,11.1000,11.0300,11.0500,2262
2024-04-26 09:49:00,11.0500,11.0600,11.0400,11.0600,798
2024-04-26 09:50:00,11.1000,11.1400,11.1000,11.1300,3083
2024-04-26 09:51:00,11.1300,11.1400,11.1300,11.1400,1088
2024-04-26 09:52:00,11.1200,11.1500,11.1100,11.1500,6311
2024-04-26 09:53:00,11.1550,11.2200,11.1500,11.1600,13846
2024-04-26 09:54:00,11.2000,11.2000,11.1600,11.1600,421
2024-04-26 09:55:00,11.1850,11.2600,11.1850,11.2130,14235
2024-04-26 09:56:00,11.2000,11.2200,11.1900,11.2000,6919
2024-04-26 09:57:00,11.2000,11.2400,11.2000,11.2000,3982
2024-04-26 09:58:00,11.2300,11.2300,11.1900,11.2000,19274
2024-04-26 09:59:00,11.2000,11.2200,11.1900,11.2200,2292
2024-04-26 10:00:00,11.1530,11.1900,11.1200,11.1650,1144
2024-04-26 10:01:00,11.1650,11.1650,11.1650,11.1650,409
2024-04-26 10:02:00,11.1650,11.1800,11.1650,11.1800,486
2024-04-26 10:04:00,11.1700,11.2450,11.1700,11.2240,28019
2024-04-26 10:05:00,11.2200,11.2200,11.2000,11.2200,4885
2024-04-26 10:06:00,11.2200,11.2200,11.1800,11.1800,5045
2024-04-26 10:07:00,11.1900,11.2000,11.1800,11.2000,1798
2024-04-26 10:08:00,11.2200,11.2350,11.2200,11.2350,5130
2024-04-26 10:09:00,11.2260,11.2260,11.2260,11.2260,233
2024-04-26 10:10:00,11.2350,11.2600,11.2350,11.2600,1758
2024-04-26 10:11:00,11.2550,11.2770,11.2500,11.2710,3414
2024-04-26 10:12:00,11.2800,11.3050,11.2800,11.2800,6143
2024-04-26 10:13:00,11.2950,11.2950,11.2800,11.2800,577
2024-04-26 10:14:00,11.2600,11.2650,11.2600,11.2600,934
2024-04-26 10:15:00,11.2400,11.2450,11.2200,11.2450,912
2024-04-26 10:16:00,11.2600,11.2800,11.2600,11.2800,1183
2024-04-26 10:17:00,11.2600,11.2700,11.2600,11.2600,1048
2024-04-26 10:18:00,11.2700,11.3300,11.2700,11.3300,3015
2024-04-26 10:19:00,11.3050,11.3500,11.3050,11.3500,7850
2024-04-26 10:20:00,11.3600,11.3700,11.3510,11.3700,5265
2024-04-26 10:21:00,11.3800,11.4300,11.3700,11.4300,17199
2024-04-26 10:22:00,11.4300,11.4500,11.4200,11.4500,4034
2024-04-26 10:23:00,11.4300,11.4600,11.4300,11.4600,4267
2024-04-26 10:24:00,11.4700,11.4800,11.4600,11.4800,2887
2024-04-26 10:25:00,11.4600,11.4600,11.4200,11.4400,8954
2024-04-26 10:26:00,11.4400,11.4800,11.4400,11.4500,4368
2024-04-26 10:27:00,11.4650,11.4800,11.4650,11.4800,1990
2024-04-26 10:28:00,11.4740,11.4740,11.3100,11.3100,9600
2024-04-26 10:29:00,11.3000,11.3100,11.3000,11.3100,1021
2024-04-26 10:30:00,11.2700,11.2700,11.2400,11.2700,10336
2024-04-26 10:31:00,11.2700,11.2700,11.2400,11.2450,1532
2024-04-26 10:32:00,11.2360,11.3000,11.2360,11.3000,1641
2024-04-26 10:33:00,11.2600,11.2900,11.2600,11.2800,2716
2024-04-26 10:34:00,11.2900,11.2900,11.2900,11.2900,188
2024-04-26 10:35:00,11.2900,11.3300,11.2900,11.3170,5439
2024-04-26 10:36:00,11.3400,11.3500,11.3100,11.3150,7525
2024-04-26 10:37:00,11.3150,11.3200,11.3000,11.3200,1680
2024-04-26 10:38:00,11.3050,11.3050,11.3050,11.3050,175
2024-04-26 10:39:00,11.3050,11.3050,11.3050,11.3050,263
2024-04-26 10:41:00,11.2950,11.2950,11.2350,11.2400,7065
2024-04-26 10:42:00,11.2300,11.2300,11.2000,11.2200,12418
2024-04-26 10:43:00,11.2250,11.2600,11.2150,11.2600,2415
2024-04-26 10:44:00,11.2200,11.2200,11.1800,11.1900,2162
2024-04-26 10:45:00,11.2000,11.2000,11.2000,11.2000,724
2024-04-26 10:46:00,11.2100,11.2100,11.2100,11.2100,919
2024-04-26 10:47:00,11.2150,11.2400,11.2150,11.2400,1016
2024-04-26 10:48:00,11.2550,11.2790,11.2550,11.2790,944
2024-04-26 10:49:00,11.2710,11.2900,11.2710,11.2900,1280
2024-04-26 10:50:00,11.2600,11.2800,11.2500,11.2500,1599
2024-04-26 10:51:00,11.2400,11.2400,11.2300,11.2300,504
2024-04-26 10:52:00,11.2200,11.2200,11.1900,11.1900,586
2024-04-26 10:53:00,11.1950,11.2100,11.1950,11.2100,379
2024-04-26 10:54:00,11.2250,11.2300,11.2250,11.2300,500
2024-04-26 10:55:00,11.2300,11.2300,11.2300,11.2300,781
2024-04-26 10:56:00,11.2200,11.2500,11.2200,11.2300,2339
2024-04-26 10:57:00,11.2400,11.2400,11.2400,11.2400,223
2024-04-26 10:58:00,11.2140,11.2140,11.2140,11.2140,353
2024-04-26 10:59:00,11.2150,11.2150,11.2150,11.2150,488
2024-04-26 11:00:00,11.2200,11.2400,11.2200,11.2400,798
2024-04-26 11:01:00,11.2400,11.2600,11.2400,11.2600,1423
2024-04-26 11:02:00,11.2680,11.2680,11.2680,11.2680,601
2024-04-26 11:03:00,11.2600,11.2800,11.2600,11.2800,1749
2024-04-26 11:04:00,11.2700,11.2800,11.2600,11.2760,3032
2024-04-26 11:06:00,11.2600,11.2600,11.2300,11.2500,3299
2024-04-26 11:08:00,11.2500,11.2500,11.2300,11.2400,2918
2024-04-26 11:09:00,11.2400,11.2400,11.2300,11.2350,1279
2024-04-26 11:10:00,11.2230,11.2230,11.2230,11.2230,303
2024-04-26 11:11:00,11.2200,11.2200,11.1800,11.1800,2991
2024-04-26 11:12:00,11.1700,11.1900,11.1600,11.1900,13433
2024-04-26 11:13:00,11.1900,11.2100,11.1900,11.2100,701
2024-04-26 11:14:00,11.2100,11.2200,11.2100,11.2200,1245
2024-04-26 11:15:00,11.2200,11.2200,11.2000,11.2000,2489
2024-04-26 11:16:00,11.2200,11.2200,11.2200,11.2200,1067
2024-04-26 11:17:00,11.2000,11.2000,11.1900,11.1900,1099
