,open,high,low,close,volume
2024-04-26 04:00:00,35.0000,35.1400,35.0000,35.1400,11
2024-04-26 04:06:00,35.2300,35.2300,35.2300,35.2300,2
2024-04-26 04:08:00,35.1700,35.1700,35.1700,35.1700,22
2024-04-26 04:11:00,35.2300,35.2300,35.2300,35.2300,850
2024-04-26 04:22:00,35.2100,35.2100,35.2100,35.2100,359
2024-04-26 04:23:00,35.0900,35.0900,35.0700,35.0700,532
2024-04-26 04:26:00,35.0800,35.0800,35.0800,35.0800,1
2024-04-26 04:33:00,35.1900,35.1900,35.1900,35.1900,400
2024-04-26 04:46:00,35.1000,35.1000,35.1000,35.1000,10
2024-04-26 04:50:00,35.1900,35.1900,35.1900,35.1900,20
2024-04-26 04:51:00,35.1500,35.1500,35.1500,35.1500,135
2024-04-26 04:53:00,35.1900,35.1900,35.1900,35.1900,3
2024-04-26 04:55:00,35.0300,35.0300,35.0300,35.0300,120
2024-04-26 04:57:00,35.1400,35.1400,35.1400,35.1400,465
2024-04-26 05:08:00,35.0500,35.0500,35.0500,35.0500,10
2024-04-26 05:09:00,35.0500,35.0500,35.0500,35.0500,105
2024-04-26 05:17:00,35.1000,35.1000,35.1000,35.1000,2
2024-04-26 05:18:00,35.0200,35.0200,35.0200,35.0200,1000
2024-04-26 05:27:00,35.0000,35.0000,35.0000,35.0000,42
2024-04-26 05:35:00,35.0200,35.0200,35.0200,35.0200,100
2024-04-26 05:53:00,35.0100,35.0100,35.0100,35.0100,300
2024-04-26 06:02:00,35.1500,35.1500,35.1500,35.1500,1000
2024-04-26 06:08:00,35.1000,35.1000,35.1000,35.1000,500
2024-04-26 06:09:00,35.1000,35.1000,35.1000,35.1000,250
2024-04-26 06:11:00,35.1000,35.1100,35.1000,35.1100,207
2024-04-26 06:19:00,35.1600,35.1600,35.1600,35.1600,50
2024-04-26 06:20:00,35.1000,35.1100,35.0800,35.0800,452
2024-04-26 06:22:00,35.0400,35.0400,35.0400,35.0400,37
2024-04-26 06:26:00,35.1100,35.1100,35.1100,35.1100,3
2024-04-26 06:29:00,34.9800,34.9800,34.9800,34.9800,120
2024-04-26 06:30:00,34.9500,34.9500,34.9500,34.9500,8
2024-04-26 06:31:00,34.9000,34.9000,34.9000,34.9000,2
2024-04-26 06:34:00,34.8100,34.8100,34.8000,34.8000,4002
2024-04-26 06:45:00,34.9300,34.9300,34.9300,34.9300,25
2024-04-26 06:58:00,34.8700,34.8700,34.8600,34.8600,5000
2024-04-26 07:00:00,34.8100,34.9800,34.8100,34.9800,100
2024-04-26 07:09:00,34.8500,34.8500,34.8500,34.8500,7
2024-04-26 07:14:00,34.8600,34.8600,34.8600,34.8600,5
2024-04-26 07:15:00,34.8500,34.8500,34.8500,34.8500,288
2024-04-26 07:19:00,34.9100,34.9100,34.8600,34.8600,3000
2024-04-26 07:22:00,34.8200,34.8200,34.8200,34.8200,200
2024-04-26 07:24:00,34.8000,34.8000,34.8000,34.8000,1002
2024-04-26 07:28:00,34.7700,34.8200,34.7700,34.8200,25
2024-04-26 07:31:00,34.8200,34.8200,34.8200,34.8200,28
2024-04-26 07:32:00,34.8200,34.8400,34.8000,34.8400,483
2024-04-26 07:37:00,34.7800,34.7800,34.7800,34.7800,5
2024-04-26 07:40:00,34.7600,34.7600,34.7500,34.7500,4
2024-04-26 07:49:00,34.7000,34.7000,34.7000,34.7000,66
2024-04-26 07:50:00,34.6800,34.6800,34.6800,34.6800,5
2024-04-26 07:51:00,34.6800,34.7100,34.6800,34.7100,35
2024-04-26 07:52:00,34.7100,34.7100,34.7100,34.7100,15
2024-04-26 07:54:00,34.7000,34.7500,34.7000,34.7500,35
2024-04-26 07:55:00,34.7500,34.7500,34.7500,34.7500,5
2024-04-26 07:56:00,34.7500,34.7600,34.7500,34.7600,20
2024-04-26 07:57:00,34.7700,34.8000,34.7700,34.8000,22
2024-04-26 07:58:00,34.8000,34.8200,34.8000,34.8200,686
2024-04-26 07:59:00,34.7700,34.7700,34.7700,34.7700,5
