,open,high,low,close,volume
2024-04-26 08:03:00,18.9300,18.9300,18.9300,18.9300,1
2024-04-26 09:30:00,19.1800,19.1800,19.1800,19.1800,3602
2024-04-26 09:31:00,19.1500,19.1500,19.1500,19.1500,356
2024-04-26 09:32:00,19.0700,19.0700,19.0700,19.0700,248
2024-04-26 09:33:00,19.0250,19.0250,19.0250,19.0250,106
2024-04-26 09:34:00,18.9800,18.9800,18.9600,18.9600,1341
2024-04-26 09:35:00,18.9600,18.9750,18.9500,18.9750,2307
2024-04-26 09:36:00,18.9750,19.0000,18.9600,18.9600,1624
2024-04-26 09:37:00,19.0100,19.0100,19.0100,19.0100,545
2024-04-26 09:39:00,19.0200,19.0600,19.0200,19.0600,509
2024-04-26 09:40:00,19.0500,19.0600,19.0500,19.0600,469
2024-04-26 09:44:00,19.2000,19.2100,19.2000,19.2050,391
2024-04-26 09:45:00,19.2450,19.2800,19.2450,19.2800,411
2024-04-26 09:47:00,19.2800,19.2800,19.2700,19.2700,266
2024-04-26 09:48:00,19.2450,19.2450,19.2300,19.2300,458
2024-04-26 09:51:00,19.2400,19.2700,19.2400,19.2400,1069
2024-04-26 09:54:00,19.2500,19.3000,19.2500,19.3000,735
2024-04-26 09:55:00,19.4500,19.4700,19.4100,19.4100,1765
2024-04-26 09:56:00,19.4600,19.5000,19.4600,19.4900,1828
2024-04-26 09:57:00,19.4900,19.6500,19.4850,19.6500,2532
2024-04-26 09:58:00,19.5250,19.5250,19.5250,19.5250,785
2024-04-26 09:59:00,19.5430,19.5430,19.5430,19.5430,364
2024-04-26 10:00:00,19.4970,19.5400,19.4970,19.5350,443
2024-04-26 10:01:00,19.5300,19.6350,19.5300,19.5300,1564
2024-04-26 10:02:00,19.5350,19.5350,19.5300,19.5300,892
2024-04-26 10:03:00,19.5500,19.5600,19.5200,19.5200,808
2024-04-26 10:04:00,19.5250,19.5800,19.5250,19.5800,2380
2024-04-26 10:05:00,19.5350,19.5350,19.5350,19.5350,303
2024-04-26 10:06:00,19.5350,19.5700,19.4800,19.5350,8135
2024-04-26 10:07:00,19.5500,19.6200,19.5500,19.5500,4563
2024-04-26 10:08:00,19.5000,19.5400,19.5000,19.5400,1559
2024-04-26 10:09:00,19.5000,19.5400,19.4500,19.4500,4274
2024-04-26 10:10:00,19.4540,19.4540,19.4100,19.4100,1770
2024-04-26 10:11:00,19.4500,19.4500,19.4200,19.4200,2087
2024-04-26 10:12:00,19.4250,19.4250,19.4250,19.4250,362
2024-04-26 10:13:00,19.4400,19.4500,19.4250,19.4250,1473
2024-04-26 10:17:00,19.3950,19.4100,19.2800,19.2800,2024
2024-04-26 10:18:00,19.2700,19.2700,19.2700,19.2700,233
2024-04-26 10:19:00,19.2200,19.2200,19.2200,19.2200,384
2024-04-26 10:20:00,19.2600,19.2700,19.1900,19.1900,3453
2024-04-26 10:21:00,19.2000,19.2300,19.2000,19.2100,1795
2024-04-26 10:22:00,19.2000,19.2800,19.2000,19.2800,1954
2024-04-26 10:23:00,19.2700,19.2750,19.2700,19.2750,292
2024-04-26 10:24:00,19.2750,19.2900,19.2500,19.2600,1271
2024-04-26 10:25:00,19.2900,19.3000,19.2500,19.2500,1938
2024-04-26 10:26:00,19.2700,19.2700,19.2700,19.2700,125
2024-04-26 10:28:00,19.2600,19.3000,19.2600,19.2900,2670
2024-04-26 10:29:00,19.3100,19.3300,19.3100,19.3200,1237
2024-04-26 10:30:00,19.3200,19.3200,19.3200,19.3200,210
2024-04-26 10:31:00,19.3400,19.3400,19.3400,19.3400,448
2024-04-26 10:32:00,19.3600,19.3600,19.3500,19.3500,2135
2024-04-26 10:33:00,19.3900,19.3900,19.3200,19.3200,1872
2024-04-26 10:34:00,19.3100,19.3100,19.3100,19.3100,183
2024-04-26 10:35:00,19.3200,19.3400,19.3200,19.3400,1064
2024-04-26 10:37:00,19.3600,19.3700,19.3400,19.3500,1625
2024-04-26 10:38:00,19.3500,19.3500,19.3400,19.3400,987
2024-04-26 10:42:00,19.3200,19.3200,19.2900,19.2900,809
2024-04-26 10:43:00,19.2700,19.2700,19.2700,19.2700,315
2024-04-26 10:44:00,19.2600,19.2600,19.2000,19.2000,834
2024-04-26 10:46:00,19.1900,19.1900,19.1900,19.1900,120
2024-04-26 10:47:00,19.1900,19.2200,19.1900,19.1950,1424
2024-04-26 10:48:00,19.1700,19.2100,19.1700,19.1950,2266
2024-04-26 10:50:00,19.1800,19.1800,19.1600,19.1600,1984
2024-04-26 10:51:00,19.1600,19.1600,19.1600,19.1600,441
2024-04-26 10:52:00,19.1700,19.1700,19.1650,19.1650,2011
2024-04-26 10:53:00,19.1600,19.1700,19.1500,19.1700,374
2024-04-26 10:54:00,19.1700,19.1700,19.1700,19.1700,181
2024-04-26 10:55:00,19.1800,19.1800,19.1800,19.1800,157
2024-04-26 10:56:00,19.1450,19.1500,19.1450,19.1500,1023
2024-04-26 10:57:00,19.1600,19.1700,19.1600,19.1600,1517
2024-04-26 10:58:00,19.1700,19.1900,19.1700,19.1900,1729
2024-04-26 10:59:00,19.2100,19.2100,19.2100,19.2100,266
2024-04-26 11:00:00,19.2000,19.2300,19.1900,19.2300,1694
2024-04-26 11:01:00,19.2900,19.3500,19.2900,19.3500,315
2024-04-26 11:02:00,19.2700,19.2700,19.2500,19.2600,1270
2024-04-26 11:03:00,19.2650,19.2650,19.2650,19.2650,241
2024-04-26 11:05:00,19.2700,19.2900,19.2500,19.2600,6829
2024-04-26 11:07:00,19.3100,19.3100,19.2800,19.2800,1179
