,open,high,low,close,volume
2024-04-26 04:03:00,73.1500,73.1500,73.1500,73.1500,14
2024-04-26 04:09:00,72.7000,72.7000,72.7000,72.7000,6
2024-04-26 04:12:00,73.1100,73.1100,73.1100,73.1100,150
2024-04-26 05:26:00,72.9000,72.9000,72.9000,72.9000,62
2024-04-26 05:27:00,72.4900,72.5000,72.4900,72.5000,21
2024-04-26 06:06:00,73.0700,73.4100,73.0000,73.4100,129
2024-04-26 06:07:00,73.0500,73.4200,73.0500,73.4200,129
2024-04-26 06:13:00,73.4000,73.4000,73.4000,73.4000,129
2024-04-26 06:37:00,73.0000,73.0000,73.0000,73.0000,129
2024-04-26 07:00:00,73.3000,73.3000,72.5700,72.9900,23
2024-04-26 07:01:00,72.9900,73.0000,72.9900,73.0000,7
2024-04-26 07:15:00,73.0000,73.2500,72.7000,73.1300,229
2024-04-26 07:18:00,72.7300,72.7300,72.7000,72.7000,200
2024-04-26 07:47:00,73.0000,73.0000,73.0000,73.0000,50
2024-04-26 07:51:00,72.5700,72.7100,72.5700,72.7100,57
2024-04-26 07:55:00,73.2800,73.2900,73.2800,73.2900,11
2024-04-26 08:00:00,72.9900,73.5320,72.5000,73.4400,483
2024-04-26 08:01:00,73.2700,73.4400,72.1200,72.1200,348
2024-04-26 08:02:00,71.9400,73.0000,71.9400,73.0000,74
2024-04-26 08:08:00,72.9900,72.9900,72.9900,72.9900,10
2024-04-26 08:10:00,73.2000,73.2000,73.2000,73.2000,100
2024-04-26 08:13:00,73.0000,73.0000,73.0000,73.0000,15
2024-04-26 08:26:00,72.7500,72.8400,72.7500,72.8400,308
2024-04-26 08:28:00,72.8400,72.8400,72.8400,72.8400,2
2024-04-26 08:30:00,72.9800,73.2500,72.9800,73.2500,436
2024-04-26 08:32:00,73.4600,73.4800,73.4600,73.4800,165
2024-04-26 08:33:00,73.1000,73.1000,73.0000,73.0000,350
2024-04-26 08:34:00,73.4790,73.4790,73.4790,73.4790,500
2024-04-26 08:35:00,73.4780,73.4790,73.4790,73.4780,250
2024-04-26 08:39:00,72.5000,72.5000,72.5000,72.5000,2
2024-04-26 08:40:00,73.4300,73.4300,73.4300,73.4300,10
2024-04-26 08:41:00,72.7000,72.7000,72.5200,72.5200,200
2024-04-26 08:42:00,72.5100,72.5100,72.5100,72.5100,30
2024-04-26 08:46:00,72.5000,72.5000,72.5000,72.5000,10
2024-04-26 08:49:00,72.5200,72.5200,72.5200,72.5200,30
2024-04-26 08:55:00,72.5000,72.5000,71.8000,72.0000,2880
2024-04-26 08:56:00,71.9700,72.0000,71.9700,72.0000,1716
2024-04-26 08:59:00,72.0000,72.0000,71.9000,71.9000,1500
2024-04-26 09:00:00,72.0000,72.0000,72.0000,72.0000,1500
2024-04-26 09:01:00,72.0000,72.0000,72.0000,72.0000,5
2024-04-26 09:02:00,72.0000,72.0000,71.9000,71.9000,566
2024-04-26 09:04:00,72.0000,72.0000,71.9900,72.0000,650
2024-04-26 09:06:00,72.0000,72.0000,71.9900,71.9900,75
2024-04-26 09:07:00,71.9900,71.9900,71.9900,71.9900,5
2024-04-26 09:09:00,71.8000,71.8000,71.3900,71.3900,1645
2024-04-26 09:10:00,71.4000,71.4000,71.4000,71.4000,444
2024-04-26 09:11:00,71.4000,71.4000,71.4000,71.4000,55
2024-04-26 09:12:00,71.3500,71.4000,71.3500,71.4000,7
2024-04-26 09:13:00,71.3000,71.3000,71.2500,71.2500,100
2024-04-26 09:14:00,71.3000,71.3000,71.3000,71.3000,40
2024-04-26 09:16:00,71.3100,71.3100,71.3100,71.3100,150
2024-04-26 09:17:00,71.4000,71.4000,71.4000,71.4000,20
2024-04-26 09:18:00,71.3800,71.4000,71.3500,71.4000,523
2024-04-26 09:19:00,71.4000,71.4000,71.3900,71.3900,300
2024-04-26 09:20:00,71.3900,71.3900,71.0500,71.0500,838
2024-04-26 09:21:00,71.0500,71.0600,71.0500,71.0500,3100
2024-04-26 09:22:00,71.0000,71.0500,71.0000,71.0500,1217
2024-04-26 09:23:00,70.8100,70.8100,70.5500,70.7500,410
2024-04-26 09:24:00,70.7500,70.7500,70.7400,70.7400,997
2024-04-26 09:25:00,70.7400,70.7500,70.7400,70.7500,800
2024-04-26 09:26:00,70.7500,70.7500,70.7500,70.7500,65
2024-04-26 09:27:00,70.7500,71.0500,70.7400,71.0500,2902
2024-04-26 09:29:00,70.7100,70.7100,70.7100,70.7100,5
2024-04-26 09:30:00,70.9700,71.2550,70.7100,71.2550,18800
2024-04-26 09:31:00,71.0390,71.0390,71.0390,71.0390,5216
2024-04-26 09:32:00,71.5000,71.5100,71.0900,71.2500,9094
2024-04-26 09:33:00,71.8380,71.8390,71.3680,71.5470,4245
2024-04-26 09:34:00,71.5000,71.5240,70.7000,70.7430,4269
2024-04-26 09:35:00,70.9500,71.0550,70.6500,70.9400,5659
2024-04-26 09:36:00,71.0000,71.2100,71.0000,71.2000,3186
2024-04-26 09:37:00,71.1800,71.3900,71.1800,71.3000,1731
2024-04-26 09:38:00,71.4420,71.4430,71.0000,71.0000,12150
2024-04-26 09:39:00,71.4290,71.5500,71.1100,71.1100,3559
2024-04-26 09:40:00,71.3800,71.3900,71.0000,71.1000,5830
2024-04-26 09:41:00,71.2590,71.2880,70.7000,70.7000,5924
2024-04-26 09:42:00,71.1400,71.1900,71.1400,71.1700,2615
2024-04-26 09:43:00,71.1800,71.2550,71.0000,71.0000,13049
2024-04-26 09:44:00,71.2100,71.3550,70.2000,70.2600,14514
2024-04-26 09:45:00,70.5840,70.8130,70.5500,70.8130,1746
2024-04-26 09:46:00,70.8150,71.0100,70.8150,71.0100,3421
2024-04-26 09:47:00,71.2000,71.2800,71.0300,71.0850,5067
2024-04-26 09:48:00,71.6460,72.0000,71.5100,71.7550,5467
2024-04-26 09:49:00,71.9000,72.2100,71.8030,72.2100,7085
2024-04-26 09:50:00,72.6600,72.9300,72.3640,72.9200,8568
2024-04-26 09:51:00,72.9300,74.1700,72.8900,74.1700,49019
2024-04-26 09:52:00,74.1900,74.1900,73.4200,73.4200,8351
2024-04-26 09:53:00,73.2000,73.4400,73.1000,73.4400,3027
2024-04-26 09:54:00,73.3800,73.3860,73.2000,73.2000,1258
2024-04-26 09:55:00,73.1900,73.4300,73.1000,73.1000,6516
2024-04-26 09:56:00,73.0000,73.4600,73.0000,73.3900,3374
2024-04-26 09:57:00,73.3500,73.7700,73.3500,73.5200,3003
2024-04-26 09:58:00,73.5300,74.0900,73.5300,74.0880,9014
2024-04-26 09:59:00,74.0590,74.0900,73.8800,73.9440,7963
2024-04-26 10:00:00,73.9200,74.0000,73.9080,73.9080,1726
2024-04-26 10:01:00,73.9100,73.9500,73.8570,73.9500,1527
2024-04-26 10:02:00,73.9000,73.9500,73.6000,73.7250,3541
2024-04-26 10:03:00,73.8500,74.3400,73.5750,74.3400,10872
2024-04-26 10:04:00,74.0430,74.5000,74.0440,74.2720,7562
2024-04-26 10:05:00,74.2400,74.4900,74.2400,74.4900,3187
2024-04-26 10:06:00,74.3770,74.4300,74.0400,74.0400,2934
2024-04-26 10:07:00,74.2570,74.2700,74.1500,74.2700,1931
2024-04-26 10:08:00,74.1600,74.5600,74.1600,74.5180,5434
2024-04-26 10:09:00,74.5760,74.5800,74.3400,74.5150,6186
2024-04-26 10:10:00,74.2800,74.4700,74.0000,74.2200,7071
2024-04-26 10:11:00,74.0580,74.3300,73.9200,74.0430,4413
2024-04-26 10:12:00,74.2180,74.2200,74.0860,74.2100,4863
2024-04-26 10:13:00,74.2100,74.4460,74.1120,74.4460,2638
2024-04-26 10:14:00,74.3050,74.3990,74.0600,74.2200,5236
2024-04-26 10:15:00,74.4000,74.4900,73.9400,74.0700,7708
2024-04-26 10:16:00,74.1950,74.3400,74.1950,74.3030,1865
2024-04-26 10:17:00,74.5000,75.3590,74.5000,75.2800,40481
2024-04-26 10:18:00,75.3640,76.1900,75.2800,76.0950,38842
2024-04-26 10:19:00,76.0250,76.1900,75.4710,75.9300,19487
2024-04-26 10:20:00,75.8300,76.0000,75.3900,76.0000,16749
2024-04-26 10:21:00,75.9510,76.0000,75.7000,75.9430,6836
2024-04-26 10:22:00,76.0000,76.0700,75.6900,75.7950,12038
2024-04-26 10:23:00,75.9880,75.9880,75.4430,75.5240,22041
2024-04-26 10:24:00,75.7700,75.9450,75.4900,75.5000,3273
2024-04-26 10:25:00,75.4900,75.4900,74.9200,75.2450,15297
2024-04-26 10:26:00,74.9930,75.1600,74.5800,74.7560,15263
2024-04-26 10:27:00,74.7700,75.3000,74.6500,75.3000,8769
2024-04-26 10:28:00,75.4050,75.4050,75.0700,75.0700,2554
2024-04-26 10:29:00,75.0000,75.4000,74.9400,75.2100,15093
2024-04-26 10:30:00,75.2000,75.2780,75.2000,75.2140,2127
2024-04-26 10:31:00,75.4500,75.7600,75.2000,75.7060,22178
2024-04-26 10:32:00,75.6100,76.5300,75.5160,76.5150,32684
2024-04-26 10:33:00,76.4400,76.5600,76.0580,76.0580,16774
2024-04-26 10:34:00,76.3000,76.7000,76.1300,76.5700,16761
2024-04-26 10:35:00,76.6800,76.6800,76.2630,76.4520,4475
2024-04-26 10:36:00,76.3480,76.6000,76.3480,76.4950,4606
2024-04-26 10:37:00,76.4250,76.8300,76.3500,76.8250,14910
2024-04-26 10:38:00,76.8800,76.9700,76.7500,76.9700,6850
2024-04-26 10:39:00,76.9700,77.4500,76.9300,77.2870,32563
2024-04-26 10:40:00,77.1570,77.2900,76.7940,77.2000,21069
2024-04-26 10:41:00,77.2000,77.3390,77.1290,77.2800,9354
2024-04-26 10:42:00,77.2800,77.3300,77.0200,77.0200,6173
2024-04-26 10:43:00,76.8660,76.9860,76.7300,76.8950,3716
2024-04-26 10:44:00,76.9000,76.9000,76.5800,76.7550,7100
2024-04-26 10:45:00,76.5990,77.1050,76.5990,77.1050,9845
2024-04-26 10:46:00,77.0340,77.6800,77.0340,77.6600,14085
2024-04-26 10:47:00,77.6500,77.9600,77.5700,77.6700,25241
2024-04-26 10:48:00,77.6900,78.2460,77.6800,78.2460,22090
2024-04-26 10:49:00,78.2100,78.4500,78.1000,78.1000,16309
2024-04-26 10:50:00,78.1750,78.1750,77.6300,78.0000,24775
2024-04-26 10:51:00,77.8500,77.9700,77.7100,77.7440,5803
2024-04-26 10:52:00,77.8350,78.0800,77.6640,77.6640,9929
2024-04-26 10:53:00,77.7600,77.8220,77.6000,77.6000,4431
2024-04-26 10:54:00,77.6250,77.7550,77.6250,77.7530,2335
2024-04-26 10:55:00,77.6800,77.6800,77.4190,77.4700,2239
2024-04-26 10:56:00,77.2100,77.3270,77.1800,77.1800,1703
2024-04-26 10:57:00,77.2310,77.4900,77.2000,77.3500,2361
2024-04-26 10:58:00,77.2930,77.4100,77.2700,77.3100,3075
2024-04-26 10:59:00,77.3700,77.3700,77.1500,77.2700,2425
2024-04-26 11:00:00,77.3500,77.6000,77.2500,77.5450,27687
2024-04-26 11:01:00,77.5500,77.8800,77.4200,77.7600,6515
2024-04-26 11:02:00,77.9700,78.1800,77.8900,78.0900,10534
2024-04-26 11:03:00,78.2000,78.2980,78.1700,78.2670,5512
2024-04-26 11:04:00,78.2900,78.4900,78.2600,78.4000,21864
2024-04-26 11:05:00,78.3790,78.3800,78.0900,78.2000,10611
2024-04-26 11:06:00,78.1190,78.1190,77.7320,77.7600,7121
2024-04-26 11:07:00,77.7850,77.7850,77.5700,77.5700,1271
2024-04-26 11:08:00,77.7550,77.8200,77.5700,77.7700,3027
2024-04-26 11:09:00,77.7350,77.9000,77.5520,77.7190,5171
2024-04-26 11:10:00,77.7100,77.9600,77.5850,77.7600,18427
2024-04-26 11:11:00,77.6180,77.6180,77.0100,77.0100,8719
2024-04-26 11:12:00,77.1600,77.2800,77.0200,77.0200,5639
2024-04-26 11:13:00,77.1240,77.1240,76.9400,77.0000,6682
2024-04-26 11:14:00,77.2350,77.2350,76.9820,77.0350,2206
2024-04-26 11:15:00,77.3100,77.4800,77.1100,77.2920,7347
2024-04-26 11:16:00,77.3540,77.6200,77.3540,77.6200,3599
2024-04-26 11:17:00,77.6700,77.8600,77.6300,77.6430,2866
2024-04-26 11:18:00,77.6500,77.7150,76.8800,76.9650,31544
2024-04-26 11:19:00,76.9980,77.0290,76.7600,76.9200,18484
2024-04-26 11:20:00,77.1300,77.4800,77.1200,77.4800,3898
2024-04-26 11:21:00,77.4700,77.4700,77.3600,77.4000,1494
2024-04-26 11:22:00,77.3400,77.4600,77.1580,77.3100,2687
2024-04-26 11:23:00,77.1600,77.6200,77.1600,77.6200,4914
2024-04-26 11:24:00,77.5400,77.7200,77.5100,77.6020,5187
2024-04-26 11:25:00,77.6000,77.9400,77.4950,77.7700,8963
2024-04-26 11:26:00,77.7160,78.1800,77.7160,78.1330,9978
2024-04-26 11:27:00,78.1200,78.1600,77.8850,77.9750,9063
2024-04-26 11:28:00,78.0450,78.0800,77.8060,77.9850,9696
2024-04-26 11:29:00,78.0100,78.1200,77.8300,77.8300,6085
2024-04-26 11:30:00,77.8400,77.9000,77.4000,77.4000,4030
2024-04-26 11:31:00,77.0900,77.0900,77.0900,77.0900,301
2024-04-26 11:32:00,77.0900,77.3210,77.0000,77.0700,2502
2024-04-26 11:33:00,77.0100,77.2350,77.0100,77.2350,506
2024-04-26 11:34:00,77.2400,77.2400,77.2400,77.2400,408
2024-04-26 11:35:00,77.1200,77.1200,77.0100,77.0100,2304
2024-04-26 11:36:00,77.0270,77.1630,76.9900,77.0000,6183
2024-04-26 11:37:00,77.2400,77.5900,77.2400,77.5900,1378
2024-04-26 11:38:00,77.5400,77.5800,77.3300,77.4380,3840
2024-04-26 11:39:00,77.5460,77.7300,77.5460,77.6550,4159
2024-04-26 11:40:00,77.6400,77.9170,77.6400,77.8280,3808
2024-04-26 11:41:00,77.8550,77.8550,77.6650,77.6650,2574
2024-04-26 11:42:00,77.6000,77.8350,77.5900,77.7270,1206
2024-04-26 11:44:00,77.8200,77.8990,77.8200,77.8990,695
2024-04-26 11:45:00,77.9300,78.1600,77.7800,78.0600,23783
2024-04-26 11:46:00,78.1300,78.1900,78.0600,78.0600,4909
2024-04-26 11:47:00,78.0600,78.2000,78.0600,78.2000,2757
2024-04-26 11:48:00,78.1300,78.2200,78.0800,78.1800,3383
2024-04-26 11:49:00,78.2000,78.4620,78.2000,78.2300,11273
2024-04-26 11:50:00,78.3540,78.5000,78.3500,78.5000,8063
2024-04-26 11:51:00,78.4520,78.4520,78.2000,78.2550,4129
2024-04-26 11:52:00,78.1800,78.2600,78.1500,78.1520,1644
2024-04-26 11:53:00,78.2700,78.2700,78.1500,78.1500,1256
2024-04-26 11:54:00,78.0900,78.1400,78.0900,78.1400,7407
2024-04-26 11:56:00,78.3200,78.4000,78.3200,78.4000,1499
2024-04-26 11:57:00,78.3600,78.8500,78.3600,78.6400,28010
2024-04-26 11:58:00,78.6020,78.6600,78.3600,78.6000,1843
2024-04-26 11:59:00,78.5000,78.6000,78.4000,78.6000,4091
2024-04-26 12:00:00,78.5000,78.5000,78.2400,78.2400,2199
2024-04-26 12:01:00,78.3680,78.3680,78.1440,78.2750,4295
2024-04-26 12:02:00,78.3800,78.4980,78.3700,78.4700,1668
2024-04-26 12:03:00,78.5000,78.5000,78.4820,78.4820,907
2024-04-26 12:04:00,78.5040,78.6400,78.5040,78.6400,2255
2024-04-26 12:05:00,78.6000,78.7100,78.5850,78.7100,3227
2024-04-26 12:06:00,78.5000,78.5000,78.2900,78.3220,3525
2024-04-26 12:07:00,78.3000,78.3110,78.3000,78.3000,1126
2024-04-26 12:08:00,78.3000,78.3000,78.2600,78.2600,716
2024-04-26 12:09:00,78.3440,78.4250,78.3280,78.3750,2228
2024-04-26 12:10:00,78.3800,78.3800,78.2600,78.2600,2840
2024-04-26 12:11:00,78.3020,78.4610,78.3020,78.4610,1472
2024-04-26 12:12:00,78.4900,78.6900,78.4900,78.6600,4142
2024-04-26 12:13:00,78.7500,78.7500,78.5800,78.6590,1536
2024-04-26 12:14:00,78.6270,78.6270,78.6270,78.6270,775
2024-04-26 12:16:00,78.7500,78.7500,78.5860,78.5860,1451
2024-04-26 12:17:00,78.6640,78.6640,78.6170,78.6350,1226
2024-04-26 12:18:00,78.7440,78.7900,78.6520,78.7300,4735
2024-04-26 12:19:00,78.6600,78.7000,78.6600,78.6600,1686
2024-04-26 12:20:00,78.6500,78.6500,78.5200,78.5200,475
2024-04-26 12:21:00,78.5500,78.5850,78.5500,78.5500,987
2024-04-26 12:22:00,78.5000,78.6500,78.4300,78.6500,2162
2024-04-26 12:23:00,78.5500,78.5500,78.3300,78.3300,1982
2024-04-26 12:24:00,78.4640,78.5300,78.4640,78.5300,718
2024-04-26 12:25:00,78.5490,78.9400,78.5000,78.9300,10524
2024-04-26 12:26:00,78.9200,79.2000,78.8700,79.1000,23264
